[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/fonts/source-sans-pro/source-sans-pro-v13-latin-regular.woff2" [Client 192.168.1.156] [Length 16112] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/vendor/fonts/source-sans-pro/source-sans-pro.css?v=1764268946"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/font-awesome/webfonts/fa-solid-900.woff2" [Client 192.168.1.156] [Length 158220] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/vendor/font-awesome/css/all.min.css?v=1764268946"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/font-awesome/webfonts/fa-brands-400.woff2" [Client 192.168.1.156] [Length 118684] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/vendor/font-awesome/css/all.min.css?v=1764268946"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/img/favicons/favicon-32x32.png" [Client 192.168.1.156] [Length 936] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 401 401 - GET https rb-pihole.nishara.me "/api/auth" [Client 192.168.1.156] [Length 123] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/api/info/login" [Client 192.168.1.156] [Length 60] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:14 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/img/favicons/favicon.ico" [Client 192.168.1.156] [Length 15086] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/login.js?v=1764268946" [Client 192.168.1.156] [Length 6214] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/utils.js?v=1764268946" [Client 192.168.1.156] [Length 20951] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/nprogress/nprogress.min.js?v=1764268946" [Client 192.168.1.156] [Length 7445] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/bootstrap/js/bootstrap.min.js?v=1764268946" [Client 192.168.1.156] [Length 39680] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/adminLTE/adminlte.min.js?v=1764268946" [Client 192.168.1.156] [Length 13611] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/jquery/jquery.min.js?v=1764268946" [Client 192.168.1.156] [Length 87533] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:13:15 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/footer.js?v=1764268946" [Client 192.168.1.156] [Length 23408] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:15:19 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/login" [Client 192.168.1.156] [Length 3117] [Gzip 3.30] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "-"
[18/Dec/2025:21:15:19 +0530] - 200 200 - GET https rb-pihole.nishara.me "/api/info/login" [Client 192.168.1.156] [Length 58] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:15:19 +0530] - 401 401 - GET https rb-pihole.nishara.me "/api/auth" [Client 192.168.1.156] [Length 123] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:15:22 +0530] - 200 200 - POST https rb-pihole.nishara.me "/api/auth" [Client 192.168.1.156] [Length 176] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/" [Client 192.168.1.156] [Length 7444] [Gzip 4.93] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/login"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/bootstrap-notify/bootstrap-notify.min.js?v=1764268946" [Client 192.168.1.156] [Length 9428] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/datatables/datatables.min.js?v=1764268946" [Client 192.168.1.156] [Length 88136] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/select2/select2.min.js?v=1764268946" [Client 192.168.1.156] [Length 70851] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/datatables-buttons/datatables.buttons.min.js?v=1764268946" [Client 192.168.1.156] [Length 20970] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/datatables-select/datatables.select.min.js?v=1764268946" [Client 192.168.1.156] [Length 13088] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/hammer/hammer.min.js?v=1764268946" [Client 192.168.1.156] [Length 45789] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/moment/moment.min.js?v=1764268946" [Client 192.168.1.156] [Length 58891] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/waitMe-js/modernized-waitme-min.js?v=1764268946" [Client 192.168.1.156] [Length 3661] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/chartjs/chart.umd.min.js?v=1764268946" [Client 192.168.1.156] [Length 208522] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/charts.js?v=1764268946" [Client 192.168.1.156] [Length 13559] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/index.js?v=1764268946" [Client 192.168.1.156] [Length 29351] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/scripts/js/logout.js?v=1764268946" [Client 192.168.1.156] [Length 633] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/bstreeview/bstreeview.min.js?v=1764268946" [Client 192.168.1.156] [Length 2651] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/chartjs-adapter-moment/chartjs-adapter-moment.js?v=1764268946" [Client 192.168.1.156] [Length 1376] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/chartjs-plugin-deferred/chartjs-plugin-deferred.min.js?v=1764268946" [Client 192.168.1.156] [Length 2201] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/admin/vendor/chartjs-plugin-zoom/chartjs-plugin-zoom.min.js?v=1764268946" [Client 192.168.1.156] [Length 15203] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
[18/Dec/2025:21:15:22 +0530] - 200 200 - GET https rb-pihole.nishara.me "/api/stats/summary" [Client 192.168.1.156] [Length 946] [Gzip -] [Sent-to 192.168.1.174] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36" "https://rb-pihole.nishara.me/admin/"
